A-Line Orthopaedics,"A-Line is developing safer, faster and less invasive implants for minimally-invasive spine surgery that improve patient outcomes and surgeon confidence."
Aalo,"Creative furniture assembly system that brings effortless, inch-by-inch personalization to the objects that make up your dynamic living space."
Acerta,"A machine learning platform that detects anomalies in vehicle data to decrease manufacturing costs, and improve quality."
Acorn Biolabs,Cryopreserving people’s healthy young cells for use with future medical technologies.
AIRO Health,A wearable nutrition tracker that actively monitors a user’s caloric intake.
Alchemy,"Protective film for windshields to prevent stone chips, block solar infrared heat, and prevent overnight frost."
Altius Analytics Labs,Developing seamless motion analysis technology for workplace musculoskeletal injury prevention.
Amina Health,Allows users to track their nutrition levels with a single drop of blood and buy customized supplements based on what their bodies’ actually need.
ApplyBoard,Helps international students apply to universities and colleges in North America through an all-in-one application platform.
Ark Paradigm,A regulatory intelligence service to report financial material free of errors and omissions.
Arylla,Secure nano ink that combats fraud and improves top line revenue.
Avidbots,Smart cleaning robots for autonomous commercial floor cleaning.
AVRO Life Science,Medicated stickers to deliver seasonal allergy medication to children.
Babylon VR,A content creation tool for virtual reality.
Bartesian,A modern mixology system that creates premium cocktails on demand.
Bibu Labs,Dynamic defence mechanism against cyberattacks.
Blitzen,"Helps SMB marketers convert website visitors into data-rich leads, and capture key customer insights."
Bookneto,"(Acquired by Canadian Innovation Centre, 2013). Bookneto is a Q&A tool built on top of Waterloo’s online learning platform (LEARN)."
Borealis Wind,A wind turbine de-icing system that is low maintenance and easy to install.
BridesMade,BridesMade is an online portal that allows bridesmaids to rent size-adjustable bridesmaid dresses that are shipped right to their doorsteps.
Bridgit,Software for the construction industry to streamline communications and improves productivity.
BufferBox,"(Acquired by Google, 2012). Automated self-serve kiosks for consumers to retrieve shipped parcels at their convenience."
Cardinote,"Maker of Tabophone, a guitar pick that writes music for you automatically."
Chalk.com,"A platform for teachers with a suite of products for curriculum management, administrator insights, and collaboration."
Charity Republic,Volunteer management software that provides effortless volunteer scheduling and tracking.
CharityCAN,"Software as a service to help charities quickly find, qualify and make connections with important donors."
ChefHero,Helps you order everything for your kitchen in one convenient location.
Chillabit,"A social platform where university students meet new people, socialize, and share hilarious stories."
Code Connect,"(Acquired by Microsoft, 2016). Code Connect for Visual Studio displays code as the computer will execute it, making complex software projects easier to understand."
Couple,"(Acquired by Life360, 2016). A relationship app that connects partners around the world."
Curiato,Provides institutions with smart sensor systems to remotely monitor and manage patients at risk of developing pressure related injuries.
Demine Robotics,A specialized robot that excavates and neutralizes landmines with limited human interaction.
DraftingSPACE,"(Acquired by BuildDirect, 2015). An automated floor plan generation tool for use in architecture, interior design, and home staging."
DropLab,Automating lab work using the power of digital microfluidics.
Durata,Durata offers a platform that uses cryptocurrencies to help content creators crowdfund.
Elucid Labs,"An AI-powered hand-held device capable of real-time detection of skin conditions, disease, and cancer."
EMAGIN,An intelligence platform that enables water utilities to proactively manage their infrastructure in real-time.
Embark,"Self-driving vehicles that can save lives, reduce emissions, and free up billions of hours."
Encircle,A platform for insurance carriers to improve productivity and transparency across the entire insurance ecosystem.
EnPowered,Group buying for energy to help consumers control energy usage and costs.
Envoi,Envoi offers retailers an infrastructure for same day delivery in order to meet consumer demand that is not currently fulfilled by traditional courier services.
Eve Tab,"A nightclub app that allows users to pre-pay bar tabs, skip the line and enter for free."
Expertise Finder,A search engine to connect journalists with subject matter experts. 
ExVivo Labs,"Non-invasive allergy testing solutions for physicians, making the experience safe, simple and certain."
Fiix,On-demand service for automotive repairs.
Fora,"(Acquired by Andela, 2014). Provides digital educational content for organizations in Africa using course content developed by world leading experts."
Furevery,A community platform that connects dog lovers with professional dog services. 
Gamelynx,Team-based competitive eSport games for the mobile generation.
Georgette Packaging,Custom branded packaging for small businesses.
Greenlight Essentials,Software that helps entertainment professionals better understand film industry data.
Grobo,"A hydroponic grow box to easily grow high-quality food and medicine right at home, all year long."
Ground,Ground is the first AI-powered verified news platform.
H2nanO,"Harnessing solar energy to treat contaminated water quickly, effectively and at low cost."
Halion Displays,Low-power outdoor visible display technology to enable the next generation of devices.
